Ref,Val,Package,PosX,PosY,Rot,Side
"","","kleckner_lab_p_5mm",146.050000,-137.160000,0.000000,top
"C11","0.1UF/50V","C_0603_1608Metric",72.390000,-107.315000,270.000000,top
"C12","4.7UF/16V","C_0603_1608Metric",74.295000,-107.315000,270.000000,top
"C13","22UF/25V","C_0805_2012Metric",119.380000,-131.572000,90.000000,top
"C14","22UF/25V","C_0805_2012Metric",119.380000,-127.508000,90.000000,top
"C21","0.1UF/50V","C_0603_1608Metric",73.025000,-133.350000,180.000000,top
"C22","22UF/25V","C_0805_2012Metric",73.025000,-135.255000,180.000000,top
"C23","1UF/50V","C_0805_2012Metric",73.025000,-141.605000,0.000000,top
"C31","0.1UF/50V","C_0603_1608Metric",176.022000,-139.065000,90.000000,top
"C32","0.1UF/50V","C_0603_1608Metric",173.482000,-129.921000,180.000000,top
"C33","0.1UF/50V","C_0603_1608Metric",171.450000,-127.635000,180.000000,top
"C34","0.1UF/50V","C_0603_1608Metric",173.990000,-131.953000,0.000000,top
"C35","0.1UF/50V","C_0603_1608Metric",169.545000,-130.937000,90.000000,top
"C41","0.1UF/50V","C_0603_1608Metric",106.680000,-114.935000,270.000000,top
"C42","0.1UF/50V","C_0603_1608Metric",163.195000,-131.445000,270.000000,top
"C43","0.1UF/50V","C_0603_1608Metric",146.050000,-131.445000,270.000000,top
"C44","0.1UF/50V","C_0603_1608Metric",144.780000,-142.240000,180.000000,top
"C45","4.7UF/16V","C_0603_1608Metric",149.860000,-142.240000,0.000000,top
"C46","0.1UF/50V","C_0603_1608Metric",104.140000,-141.605000,0.000000,top
"C47","4.7UF/16V","C_0603_1608Metric",109.220000,-141.605000,180.000000,top
"C51","4.7UF/25V","C_0805_2012Metric",111.760000,-117.856000,90.000000,top
"C52","22UF/25V","C_0805_2012Metric",115.570000,-108.585000,90.000000,top
"C53","22UF/25V","C_0805_2012Metric",115.570000,-113.030000,90.000000,top
"C54","0.1UF/50V","C_0603_1608Metric",106.045000,-108.585000,90.000000,top
"C55","100PF/50V","C_0805_2012Metric",104.140000,-108.585000,90.000000,top
"C56","0.22UF/25V","C_0603_1608Metric",105.270000,-101.600000,180.000000,top
"C57","0.1UF/50V","C_0603_1608Metric",107.315000,-93.345000,90.000000,top
"C58","10UF/50V","C_1206_3216Metric",110.490000,-93.345000,90.000000,top
"C59","0.1UF/50V","C_0603_1608Metric",113.665000,-93.345000,90.000000,top
"C510","4.7UF/25V","C_0805_2012Metric",114.808000,-117.856000,0.000000,top
"CF3","30PF/50V","C_0603_1608Metric",96.520000,-81.280000,270.000000,top
"CF13","30PF/50V","C_0603_1608Metric",111.760000,-81.280000,270.000000,top
"D1","B5819W","D_SOD-123",81.280000,-97.790000,180.000000,top
"D11","RED","LED_0603_1608Metric",81.280000,-101.600000,180.000000,top
"D41","RED","LED_0603_1608Metric",105.791000,-130.810000,0.000000,top
"D42","GREEN","LED_0603_1608Metric",105.791000,-132.334000,0.000000,top
"D43","BLUE","LED_0805_2012Metric",105.791000,-134.112000,0.000000,top
"D44","GREEN","LED_0603_1608Metric",105.791000,-135.890000,0.000000,top
"L5","6.8UH/530mA","L_1210_3225Metric",114.808000,-121.412000,90.000000,top
"Q11","S8050","SOT-23",87.630000,-104.775000,270.000000,top
"Q12","S8050","SOT-23",87.630000,-97.155000,90.000000,top
"Q41","S8050","SOT-23",101.981000,-129.794000,0.000000,top
"Q42","S8050","SOT-23",98.171000,-132.334000,0.000000,top
"Q43","S8050","SOT-23",101.981000,-134.620000,0.000000,top
"Q44","S8050","SOT-23",100.330000,-138.430000,0.000000,top
"R11","10k","R_0805_2012Metric",88.900000,-100.965000,90.000000,top
"R12","10k","R_0805_2012Metric",86.360000,-100.965000,270.000000,top
"R17","1k","R_0805_2012Metric",73.406000,-104.140000,180.000000,top
"R21","10k","R_0805_2012Metric",73.025000,-139.065000,0.000000,top
"R22","10k","R_0805_2012Metric",132.080000,-126.365000,90.000000,top
"R43","47","R_0805_2012Metric",100.330000,-147.320000,270.000000,top
"R44","47","R_0805_2012Metric",114.300000,-144.145000,0.000000,top
"R45","47","R_0805_2012Metric",139.700000,-144.780000,180.000000,top
"R46","47","R_0805_2012Metric",153.670000,-147.320000,270.000000,top
"R51","15K/0.1%","R_0805_2012Metric",105.410000,-103.505000,180.000000,top
"R52","15K/0.1%","R_0805_2012Metric",109.220000,-103.505000,180.000000,top
"R53","120K/0.1%","R_0805_2012Metric",96.520000,-85.090000,270.000000,top
"R54","15K/0.1%","R_0805_2012Metric",99.060000,-90.170000,270.000000,top
"R55","15K/0.1%","R_0805_2012Metric",99.060000,-94.615000,270.000000,top
"R56","120K/0.1%","R_0805_2012Metric",104.775000,-88.265000,180.000000,top
"R57","120K/0.1%","R_0805_2012Metric",111.760000,-85.090000,270.000000,top
"R58","15K/0.1%","R_0805_2012Metric",122.555000,-97.790000,270.000000,top
"R59","15K/0.1%","R_0805_2012Metric",122.555000,-93.345000,270.000000,top
"R510","120K/0.1%","R_0805_2012Metric",122.555000,-88.900000,270.000000,top
"RD41","150","R_0805_2012Metric",109.537500,-130.810000,0.000000,top
"RD42","4.7K","R_0805_2012Metric",98.171000,-129.159000,180.000000,top
"RD43","82","R_0805_2012Metric",109.537500,-132.842000,0.000000,top
"RD44","4.7K","R_0805_2012Metric",95.250000,-129.540000,90.000000,top
"RD45","100","R_0805_2012Metric",109.537500,-134.874000,0.000000,top
"RD46","4.7K","R_0805_2012Metric",98.171000,-135.255000,180.000000,top
"RD47","82","R_0805_2012Metric",109.537500,-136.906000,0.000000,top
"RD48","4.7K","R_0805_2012Metric",93.091000,-127.889000,90.000000,top
"SW2","RESET","SW_Push_1P1T_NO_6x6mm_H9.5mm",66.929000,-140.335000,90.000000,top
"U1","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",79.375000,-106.045000,270.000000,top
"U2","ESP32-WROOM-32D","ESP32-WROOM-32",80.010000,-120.650000,90.000000,top
"U3","SP3232","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm",170.942000,-137.033000,270.000000,top
"U11","SRV05-4","SOT-23-6",75.565000,-99.695000,90.000000,top
"U13","AMS1117-3.3","SOT-223",125.476000,-129.540000,0.000000,top
"U41","74AHC04","TSSOP-14_4.4x5mm_P0.65mm",101.600000,-116.332000,0.000000,top
"U42","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",155.575000,-129.540000,270.000000,top
"U43","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",138.430000,-129.540000,270.000000,top
"U45","TC4427","SOIC-8_3.9x4.9mm_P1.27mm",106.680000,-146.050000,180.000000,top
"U46","TC4427","SOIC-8_3.9x4.9mm_P1.27mm",147.320000,-146.050000,180.000000,top
"U51","DAC8562SDGSR","VSSOP-10_3x3mm_P0.5mm",100.965000,-106.045000,270.000000,top
"U52","NE5532","SOIC-8_3.9x4.9mm_P1.27mm",103.505000,-93.345000,270.000000,top
"U53","NE5532","SOIC-8_3.9x4.9mm_P1.27mm",117.475000,-93.345000,270.000000,top
"svg2mod","G***","muvi",219.075000,-133.350000,0.000000,top
"svg2mod","G***","muvi_5mm",119.380000,-137.160000,0.000000,top
